time, vins_x, vins_y, vins_z, vins_roll, vins_pitch, vins_yaw,opti_x, opti_y, opti_z, opti_roll, opti_pitch, opti_yaw, extri_x, extri_y, extri_z, extri_roll, extri_pitch, extri_yaw
8.70000000002e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.026612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02755,0,0,0,0,0,0,-1.01482701302,0.629595160484,1.29062902927,0.0308205606396,-0.141661214261,0.283603637476,0,0,0,0,0,0
0.029081,0,0,0,0,0,0,-1.01769399643,0.627878904343,1.28964948654,0.0297781810363,-0.138803788225,0.285012180188,0,0,0,0,0,0
0.02946,0,0,0,0,0,0,-1.01769399643,0.627878904343,1.28964948654,0.0297781810363,-0.138803788225,0.285012180188,0,0,0,0,0,0
0.030651,0,0,0,0,0,0,-1.02217078209,0.625247836113,1.28807997704,0.0271768952344,-0.133345397336,0.286982327246,0,0,0,0,0,0
0.030949,0,0,0,0,0,0,-1.02217078209,0.625247836113,1.28807997704,0.0271768952344,-0.133345397336,0.286982327246,0,0,0,0,0,0
0.032306,0,0,0,0,0,0,-1.02539479733,0.623382925987,1.28718388081,0.0291405814108,-0.12945305668,0.287955507436,0,0,0,0,0,0
0.034629,1.36301249202,0.935943617896,0.513588978413,0.332690471406,-0.233745091735,0.254483964001,-1.02539479733,0.623382925987,1.28718388081,0.0291405814108,-0.12945305668,0.287955507436,-0.0891735451614,0.465029765937,0.0263682419507,-1.66535868226,-0.22589168765,-1.62021765969
